t20i_match_no,match_id,match_name,series_id,series_name,match_date,match_format,team1_id,team1_name,team1_captain,team1_runs_scored,team1_wickets_fell,team1_extras_rec,team2_id,team2_name,team2_captain,team2_runs_scored,team2_wickets_fell,team2_extras_rec,match_venue_stadium,match_venue_city,match_venue_country,umpire_1,umpire_2,match_referee,toss_winner,toss_winner_choice,match_winner,match_result_text,mom_player,team1_playing_11,team2_playing_11,debut_players
287,533296,Sri Lanka Vs Pakistan 1St Semi Final,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-10-04,T20,8,Sri Lanka,6315,139.0,4.0,8.0,7,Pakistan,19647,123.0,7.0,11.0,R Premadasa Stadium,Colombo,Sri Lanka,RJ Tucker,SJA Taufel,JJ Crowe,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 16 runs,6315.0,"['6315', '7419', '9587', '24777', '49193', '47023', '52405', '46206', '45105', '8460', '50377']","['19647', '8177', '48293', '9257', '8270', '53546', '4169', '48128', '44908', '19930', '56573']",[]
288,533297,Australia Vs West Indies 2Nd Semi Final,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-10-05,T20,4,West Indies,44829,205.0,4.0,19.0,2,Australia,35384,131.0,10.0,5.0,R Premadasa Stadium,Colombo,Sri Lanka,Aleem Dar,HDPK Dharmasena,RS Madugalle,West Indies,bat,West Indies,West Indies won by 74 runs,7568.0,"['55194', '7568', '10238', '45257', '49040', '51012', '47111', '44829', '49039', '45258', '45772']","['48739', '10125', '6256', '12049', '35384', '11984', '49024', '64244', '53330', '3328', '12912']",[]
289,533298,Sri Lanka Vs West Indies Final,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-10-07,T20,4,West Indies,44829,137.0,6.0,5.0,8,Sri Lanka,6315,101.0,10.0,3.0,R Premadasa Stadium,Colombo,Sri Lanka,Aleem Dar,SJA Taufel,JJ Crowe,West Indies,bat,West Indies,West Indies won by 36 runs,10238.0,"['55194', '7568', '10238', '45257', '49040', '51012', '44829', '47111', '49039', '45258', '45772']","['6315', '7419', '9587', '47023', '24777', '49193', '52405', '46206', '45105', '50377', '68065']",[]
290,582186,Sri Lanka Vs New Zealand Only T20I,582181,New Zealand tour of Sri Lanka  - 2012 (2012/13),2012-10-30,T20,5,New Zealand,44930,74.0,7.0,7.0,8,Sri Lanka,47023,6.0,0.0,0.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,REJ Martinesz,RSA Palliyaguruge,AJ Pycroft,Sri Lanka,bowl,India,No result,63116.0,"['44895', '59148', '10384', '44930', '9639', '47492', '45365', '9989', '49108', '49104', '10303']","['52808', '7419', '9587', '47023', '24777', '52405', '49193', '46206', '68065', '52371', '50290']",[]
291,587476,Bangladesh Vs West Indies Only T20I,586602,West Indies tour of Bangladesh  - 2012 (2012/13),2012-12-10,T20,4,West Indies,44829,197.0,4.0,8.0,25,Bangladesh,47986,179.0,1.0,5.0,Shere Bangla National Stadium,Dhaka,Bangladesh,Anisur Rahman,Enamul Haque,AJ Pycroft,West Indies,bat,West Indies,West Indies won by 18 runs,10238.0,"['45554', '7568', '10238', '51054', '49040', '45256', '44829', '49521', '51012', '49039', '49034']","['48391', '58536', '47352', '58225', '47986', '52363', '61947', '45159', '51377', '52364', '47190']","['58536', '58225', '61947']"
292,565810,India Vs England 1St T20I,565797,England tour of India  - 2012 (2012/13),2012-12-20,T20,1,England,47055,157.0,6.0,3.0,6,India,7593,158.0,5.0,14.0,Subrata Roy Sahara Stadium,Pune,India,C Shamshuddin,S Asnani,JJ Crowe,India,bowl,India,India won by 5 wickets (with 13 balls remaining),7716.0,"['10787', '49532', '44660', '47055', '34736', '53271', '34739', '10831', '52245', '53296', '46924']","['7773', '51096', '49752', '7716', '15716', '7593', '49247', '12894', '47185', '48965', '54010']","['10831', '54010', '52245']"
293,567353,South Africa Vs New Zealand 1St T20I,567343,New Zealand tour of South Africa  - 2012 (2012/13),2012-12-21,T20,5,New Zealand,10384,86.0,10.0,3.0,3,South Africa,46933,87.0,2.0,1.0,Kingsmead,Durban,South Africa,JD Cloete,S George,AJ Pycroft,New Zealand,bat,South Africa,South Africa won by 8 wickets (with 47 balls remaining),45889.0,"['44895', '35647', '10384', '9639', '49106', '51057', '10386', '57196', '57609', '49104', '53716']","['48359', '13066', '46933', '58406', '48148', '53891', '9492', '45890', '47154', '61832', '45889']","['61832', '49106', '51057', '13066', '57196', '53716', '58406']"
294,565811,India Vs England 2Nd T20I,565797,England tour of India  - 2012 (2012/13),2012-12-22,T20,6,India,7593,177.0,8.0,17.0,1,England,47055,181.0,4.0,11.0,Wankhede Stadium,Mumbai,India,S Ravi,VA Kulkarni,JJ Crowe,England,bowl,England,England won by 6 wickets (with 0 balls remaining),47055.0,"['7773', '51096', '49752', '7716', '48405', '15716', '7593', '12894', '47185', '48965', '54010']","['10787', '49532', '44660', '47055', '34736', '53271', '52656', '34739', '10831', '52245', '46924']",['52656']
295,567354,South Africa Vs New Zealand 2Nd T20I,567343,New Zealand tour of South Africa  - 2012 (2012/13),2012-12-23,T20,3,South Africa,46933,165.0,5.0,4.0,5,New Zealand,10384,169.0,2.0,18.0,Buffalo Park,East London,South Africa,AT Holdstock,S George,AJ Pycroft,New Zealand,bowl,New Zealand,New Zealand won by 8 wickets (with 0 balls remaining) (D/L method),48927.0,"['48359', '13066', '46933', '53891', '48148', '9492', '58406', '45890', '47289', '45889', '46936']","['48927', '44895', '10384', '49106', '9639', '51057', '10386', '57196', '57609', '49104', '53716']",['46936']
296,589306,India Vs Pakistan 1St T20I,589303,Pakistan tour of India  - 2012 (2012/13),2012-12-25,T20,6,India,7593,133.0,9.0,5.0,7,Pakistan,19647,134.0,5.0,5.0,M Chinnaswamy Stadium,Bengaluru,India,C Shamshuddin,S Ravi,RS Mahanama,Pakistan,bowl,Pakistan,Pakistan won by 5 wickets (with 2 balls remaining),19647.0,"['7773', '51096', '49752', '7716', '7593', '15716', '48405', '49247', '54282', '49327', '48965']","['48293', '49899', '19647', '53546', '8270', '9257', '4169', '48128', '44908', '19930', '61264']","['54282', '61264']"
297,567355,South Africa Vs New Zealand 3Rd T20I,567343,New Zealand tour of South Africa  - 2012 (2012/13),2012-12-26,T20,3,South Africa,46933,179.0,6.0,10.0,5,New Zealand,10384,146.0,9.0,4.0,St George's Park,Gqeberha,South Africa,AT Holdstock,JD Cloete,AJ Pycroft,South Africa,bat,South Africa,South Africa won by 33 runs,13066.0,"['13066', '46933', '58406', '7541', '53891', '48148', '45889', '9492', '45890', '46936', '47289']","['44895', '48927', '10384', '49106', '9639', '57196', '10386', '51057', '57609', '49104', '53716']",[]
298,589307,India Vs Pakistan 2Nd T20I,589303,Pakistan tour of India  - 2012 (2012/13),2012-12-28,T20,6,India,7593,192.0,5.0,6.0,7,Pakistan,19647,181.0,7.0,6.0,Sardar Patel Stadium,Ahmedabad,India,S Asnani,VA Kulkarni,RS Mahanama,Pakistan,bowl,India,India won by 11 runs,7716.0,"['7773', '51096', '49752', '7716', '7593', '15716', '48405', '54282', '12894', '49327', '48965']","['48293', '49899', '53546', '19647', '4169', '9257', '8270', '44908', '48128', '19930', '61264']",[]
299,573019,Australia Vs Sri Lanka 1St T20I,572996,Sri Lanka tour of Australia  - 2012 (2012/13),2013-01-26,T20,2,Australia,35384,137.0,3.0,4.0,8,Sri Lanka,47023,139.0,5.0,3.0,Stadium Australia,Sydney,Australia,PR Reiffel,SD Fry,J Srinath,Australia,bat,Sri Lanka,Sri Lanka won by 5 wickets (with 7 balls remaining),48739.0,"['48739', '35812', '10129', '35384', '12400', '49024', '54222', '49028', '53330', '12912', '53439']","['52373', '7419', '6315', '52371', '47023', '52405', '49193', '24777', '46206', '50377', '45105']","['49028', '52373']"
302,569238,New Zealand Vs England 2Nd T20I,569231,England tour of New Zealand  - 2013 (2012/13),2013-02-12,T20,5,New Zealand,10384,192.0,6.0,10.0,1,England,48440,137.0,10.0,6.0,Seddon Park,Hamilton,New Zealand,DJ Walker,GAV Baxter,RS Mahanama,England,bowl,New Zealand,New Zealand won by 55 runs,63116.0,"['48927', '54831', '10384', '44930', '49106', '6329', '9639', '10386', '10380', '51092', '53716']","['10787', '49532', '44660', '52161', '47055', '53271', '34736', '48440', '10831', '48529', '46924']",[]
303,573027,Australia Vs West Indies Only T20I,573000,West Indies tour of Australia  - 2013 (2012/13),2013-02-13,T20,4,West Indies,44829,191.0,6.0,6.0,2,Australia,35384,164.0,8.0,6.0,Brisbane Cricket Ground,Brisbane,Australia,JD Ward,PR Reiffel,RS Madugalle,West Indies,bat,West Indies,West Indies won by 27 runs,49040.0,"['7568', '55194', '51054', '49040', '45257', '51012', '44829', '10223', '49521', '49039', '45405']","['35812', '10129', '12400', '35384', '47079', '6426', '50483', '49028', '49958', '47693', '51367']","['47079', '51367', '49958', '45405']"
304,569239,New Zealand Vs England 3Rd T20I,569231,England tour of New Zealand  - 2013 (2012/13),2013-02-15,T20,5,New Zealand,10384,139.0,8.0,5.0,1,England,48440,143.0,0.0,10.0,Westpac Stadium,Wellington,New Zealand,CB Gaffaney,GAV Baxter,RS Mahanama,England,bowl,England,England won by 10 wickets (with 44 balls remaining),63116.0,"['54831', '48927', '10384', '44930', '6329', '49106', '9639', '10386', '10380', '51092', '53716']","['10787', '49532', '44660', '47055', '52161', '53271', '52656', '48440', '10831', '48529', '46924']",[]
305,593986,West Indies Vs Zimbabwe 1St T20I,593978,Zimbabwe tour of West Indies  - 2013 (2012/13),2013-03-02,T20,9,Zimbabwe,45253,130.0,8.0,8.0,4,West Indies,44829,131.0,2.0,4.0,Sir Vivian Richards Stadium,North Sound,West Indies,JS Wilson,PJ Nero,J Srinath,Zimbabwe,bat,West Indies,West Indies won by 8 wickets (with 23 balls remaining),45256.0,"['45240', '10423', '45253', '47205', '48205', '47619', '55145', '45326', '59383', '55140', '47210']","['55194', '45256', '51054', '45257', '49040', '47111', '44829', '51012', '49039', '45405', '45772']","['59383', '55145']"
306,567367,South Africa Vs Pakistan 2Nd T20I,567347,Pakistan tour of South Africa  - 2013 (2012/13),2013-03-03,T20,7,Pakistan,19647,195.0,7.0,11.0,3,South Africa,46933,100.0,10.0,5.0,SuperSport Park,Centurion,South Africa,JD Cloete,S George,JJ Crowe,Pakistan,bat,Pakistan,Pakistan won by 95 runs,19647.0,"['48293', '49899', '19647', '53546', '8270', '4169', '9257', '44908', '19930', '49906', '61264']","['46533', '13066', '46933', '61832', '7541', '48148', '53891', '9492', '45889', '52222', '48182']",['52222']
307,592272,Afghanistan Vs Scotland 1St T20I,592260,Scotland tour of United Arab Emirates  - 2013 (2012/13),2013-03-03,T20,40,Afghanistan,46888,132.0,7.0,3.0,30,Scotland,52063,105.0,6.0,6.0,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RSA Palliyaguruge,Sarika Prasad,GF Labrooy,Afghanistan,bat,Afghanistan,Afghanistan won by 27 runs,60436.0,"['53767', '53602', '60436', '53809', '57022', '46888', '53605', '59061', '53326', '59773', '61857']","['48469', '49112', '10176', '46048', '52184', '62583', '45550', '52210', '64991', '46091', '52063']","['59773', '52210', '64991', '52184', '10176']"
308,593987,West Indies Vs Zimbabwe 2Nd T20I,593978,Zimbabwe tour of West Indies  - 2013 (2012/13),2013-03-03,T20,4,West Indies,44829,158.0,7.0,11.0,9,Zimbabwe,45253,117.0,6.0,8.0,Sir Vivian Richards Stadium,North Sound,West Indies,GO Brathwaite,JS Wilson,J Srinath,West Indies,bat,West Indies,West Indies won by 41 runs,45772.0,"['45256', '55194', '45257', '54571', '49040', '44829', '51012', '47111', '49039', '45772', '61982']","['47619', '45240', '10423', '45253', '47205', '48205', '55145', '45326', '60782', '59383', '47210']",['61982']
309,592273,Afghanistan Vs Scotland 2Nd T20I,592260,Afghanistan tour of United Arab Emirates [March 2013]  - 2013 (2012/13),2013-03-04,T20,30,Scotland,52063,139.0,7.0,17.0,40,Afghanistan,46888,140.0,3.0,11.0,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RSA Palliyaguruge,Sarika Prasad,GF Labrooy,Scotland,bat,Afghanistan,Afghanistan won by 7 wickets (with 15 balls remaining),60436.0,"['48469', '49112', '46048', '52184', '62583', '45550', '52210', '46091', '64991', '52063', '60201']","['53767', '53602', '60436', '53605', '59061', '53326', '59773', '57022', '61857', '53809', '46888']",[]
310,592268,Canada Vs Kenya 1St T20I,592256,Kenya tour of United Arab Emirates  - 2013 (2012/13),2013-03-15,T20,26,Kenya,21463,126.0,9.0,7.0,17,Canada,57551,128.0,5.0,9.0,ICC Global Cricket Academy,Dubai,United Arab Emirates,D Odhiambo,RJ Bailey,SR Bernard,Kenya,bat,Canada,Canada won by 5 wickets (with 9 balls remaining),64426.0,"['51509', '63259', '10364', '21463', '48189', '50293', '47212', '53171', '53203', '51531', '49761']","['60142', '57551', '52870', '56868', '49902', '60377', '60143', '48590', '64426', '60145', '60163']",['60163']
311,592269,Canada Vs Kenya 2Nd T20I,592256,Kenya tour of United Arab Emirates  - 2013 (2012/13),2013-03-16,T20,26,Kenya,21463,139.0,7.0,14.0,17,Canada,57551,118.0,10.0,7.0,ICC Global Cricket Academy,Dubai,United Arab Emirates,D Odhiambo,RJ Bailey,SR Bernard,Kenya,bat,Kenya,Kenya won by 21 runs,21463.0,"['51509', '56793', '10364', '21463', '48189', '50293', '47212', '49383', '53203', '49761', '51531']","['57551', '60142', '52870', '56868', '49902', '60377', '60143', '60163', '64426', '48590', '60145']",['56793']
312,602477,Sri Lanka Vs Bangladesh Only T20I,602469,Bangladesh tour of Sri Lanka  - 2013 (2012/13),2013-03-31,T20,8,Sri Lanka,52371,198.0,5.0,26.0,25,Bangladesh,47986,181.0,7.0,8.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,REJ Martinesz,RSA Palliyaguruge,DC Boon,Bangladesh,bowl,Sri Lanka,Sri Lanka won by 17 runs,52373.0,"['52373', '52808', '52371', '52405', '47023', '24777', '49193', '52372', '50290', '45105', '50837']","['24667', '47984', '46507', '47986', '52363', '47352', '58225', '61947', '45159', '47353', '52364']","['52372', '47984']"
313,630951,Kenya Vs Netherlands,630953,Kenya tour of Namibia  - 2013 (2013),2013-04-19,T20,15,Netherlands,53266,172.0,5.0,5.0,26,Kenya,21463,176.0,5.0,9.0,Wanderers Cricket Ground,Windhoek,Namibia,AT Holdstock,S George,D Govindjee,Netherlands,bat,Kenya,Kenya won by 5 wickets (with 6 balls remaining),63116.0,"['49218', '53266', '48736', '49443', '6362', '48111', '6365', '57764', '48503', '58594', '65446']","['51509', '48189', '10364', '21463', '50293', '47212', '49383', '53203', '61834', '49761', '53238']","['61834', '58594']"
314,592276,Kenya Vs Netherlands 1St Match,592262,"Twenty20 Quadrangular (in Namibia) Kenya, Namibia, Netherlands, South Africa Emerging Players in Namibia - 2013 (2013)",2013-04-20,T20,15,Netherlands,53266,113.0,10.0,5.0,26,Kenya,21463,114.0,3.0,5.0,Wanderers Cricket Ground,Windhoek,Namibia,AT Holdstock,S George,D Govindjee,Kenya,bowl,Kenya,Kenya won by 7 wickets (with 46 balls remaining),63116.0,"['48111', '53266', '48736', '6365', '57764', '6362', '58594', '49443', '48503', '56854', '65446']","['51509', '48189', '10364', '21463', '50293', '47212', '53203', '49383', '49761', '53238', '51531']","['56854', '56854']"
315,623571,Zimbabwe Vs Bangladesh 1St T20I,623568,Bangladesh tour of Zimbabwe  - 2013 (2013),2013-05-11,T20,9,Zimbabwe,45253,168.0,5.0,11.0,25,Bangladesh,47986,162.0,8.0,6.0,Queens Sports Club,Bulawayo,Zimbabwe,O Chirombe,RB Tiffin,BC Broad,Zimbabwe,bat,Zimbabwe,Zimbabwe won by 6 runs,10423.0,"['10423', '45240', '45253', '47206', '52319', '48205', '55145', '47209', '45326', '49266', '60782']","['48391', '47984', '48277', '47986', '52363', '47352', '47190', '61947', '45159', '51377', '48956']","['48956', '52319', '47209']"
316,623572,Zimbabwe Vs Bangladesh 2Nd T20I,623568,Bangladesh tour of Zimbabwe  - 2013 (2013),2013-05-12,T20,25,Bangladesh,47986,168.0,7.0,15.0,9,Zimbabwe,45253,134.0,9.0,11.0,Queens Sports Club,Bulawayo,Zimbabwe,TJ Matibiri,O Chirombe,BC Broad,Bangladesh,bat,Bangladesh,Bangladesh won by 34 runs,48277.0,"['48391', '47984', '48277', '47986', '52363', '47352', '58225', '61947', '45159', '51377', '48957']","['10423', '45240', '45253', '47206', '52319', '48205', '56570', '45326', '59383', '47209', '49266']",['48957']
317,566926,England Vs New Zealand 1St T20I,566897,New Zealand tour of England  - 2013 (2013),2013-06-25,T20,5,New Zealand,10384,201.0,4.0,17.0,1,England,47055,196.0,5.0,13.0,Kennington Oval,London,England,RK Illingworth,RJ Bailey,J Srinath,England,bowl,New Zealand,New Zealand won by 5 runs,54831.0,"['54831', '9639', '10384', '44930', '59148', '49106', '10380', '10386', '51057', '53716', '49104']","['10787', '49532', '44660', '47055', '44691', '53271', '53320', '49496', '10831', '46924', '47056']",[]
318,566927,England Vs New Zealand 2Nd T20I,566897,New Zealand tour of England  - 2013 (2013),2013-06-27,T20,1,England,10831,2.0,1.0,0.0,5,New Zealand,10384,129.0,6.0,7.0,Kennington Oval,London,England,RK Illingworth,RT Robinson,J Srinath,New Zealand,bowl,India,No result,63116.0,"['10787', '49532', '44660', '8107', '44691', '53271', '53320', '10831', '46924', '47056', '53296']","['54831', '9639', '10384', '44930', '59148', '49106', '10380', '10386', '51057', '53716', '49104']",[]
319,631573,Scotland Vs Kenya 1St T20I,631555,Kenya tour of Scotland  - 2013 (2013),2013-07-04,T20,30,Scotland,62583,113.0,6.0,6.0,26,Kenya,21463,78.0,10.0,12.0,Mannofield Park,Aberdeen,Scotland,GO Brathwaite,IN Ramage,DT Jukes,Scotland,bat,Scotland,Scotland won by 35 runs,63116.0,"['48469', '49112', '57777', '60303', '62583', '60198', '45550', '47382', '46091', '52063', '10176']","['51509', '48189', '10364', '21463', '50293', '56793', '63259', '49383', '53171', '49761', '51531']","['57777', '57777', '60303', '60303', '60198', '60198']"
320,631574,Scotland Vs Kenya 2Nd T20I,631555,Kenya tour of Scotland  - 2013 (2013),2013-07-05,T20,26,Kenya,21463,100.0,8.0,6.0,30,Scotland,62583,106.0,3.0,9.0,Mannofield Park,Aberdeen,Scotland,GO Brathwaite,IN Ramage,DT Jukes,Kenya,bat,Scotland,Scotland won by 7 wickets (with 9 balls remaining),63116.0,"['56793', '48189', '10364', '21463', '50293', '63259', '47212', '49383', '53203', '49761', '51531']","['48469', '49112', '60303', '60202', '62583', '57784', '45550', '47382', '46091', '52063', '10176']","['57784', '57784']"
321,645645,West Indies Vs Pakistan 1St T20I,645629,Pakistan tour of West Indies  - 2013 (2013),2013-07-27,T20,4,West Indies,44829,152.0,7.0,11.0,7,Pakistan,19647,158.0,8.0,11.0,Arnos Vale Ground,Kingstown,West Indies,GO Brathwaite,PJ Nero,DC Boon,West Indies,bat,Pakistan,Pakistan won by 2 wickets (with 0 balls remaining),4169.0,"['55194', '7568', '10238', '45256', '45257', '49040', '44829', '49039', '45772', '45405', '61982']","['48293', '49899', '19647', '51362', '53546', '58881', '4169', '45764', '19930', '49906', '61264']","['51362', '45764']"
322,645647,West Indies Vs Pakistan 2Nd T20I,645629,Pakistan tour of West Indies  - 2013 (2013),2013-07-28,T20,7,Pakistan,19647,135.0,7.0,9.0,4,West Indies,44829,124.0,9.0,4.0,Arnos Vale Ground,Kingstown,West Indies,GO Brathwaite,JS Wilson,DC Boon,Pakistan,bat,Pakistan,Pakistan won by 11 runs,53546.0,"['49899', '19647', '51362', '53639', '53546', '4169', '58881', '48128', '45764', '19930', '48835']","['55194', '7568', '10238', '45256', '45257', '49039', '49040', '44829', '54571', '45405', '45772']","['48835', '53639']"
323,635658,Sri Lanka Vs South Africa 1St T20I,635652,South Africa tour of Sri Lanka  - 2013 (2013),2013-08-02,T20,3,South Africa,46933,115.0,6.0,7.0,8,Sri Lanka,52371,103.0,9.0,7.0,R Premadasa Stadium,Colombo,Sri Lanka,REJ Martinesz,RR Wimalasiri,AJ Pycroft,South Africa,bat,South Africa,South Africa won by 12 runs,45222.0,"['13066', '58406', '46933', '45222', '46533', '53891', '48777', '50121', '47289', '19422', '48182']","['52373', '7419', '52371', '9587', '47023', '24777', '52405', '49193', '50837', '45105', '50377']","['48777', '19422']"
593,1034827,India Vs England 2Nd T20I,1034805,England tour of India  - 2016 (2016/17),2017-01-29,T20,6,India,49752,144.0,8.0,4.0,1,England,47055,139.0,6.0,8.0,Vidarbha Cricket Association Stadium,Nagpur,India,AK Chaudhary,C Shamshuddin,AJ Pycroft,England,bowl,India,India won by 5 runs,70640.0,"['49752', '60530', '15716', '7716', '51454', '7593', '70633', '12562', '70640', '7804', '61325']","['52290', '52241', '52656', '47055', '53320', '53271', '46597', '51421', '48572', '62490', '49427']",[]
